time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20151004:1400,16.22,62.05,496.5,431.11,176.45,352.2,1.66,121.0,74469.0
20151004:1500,17.72,52.9,413.85,203.79,233.25,357.0,1.93,122.0,74403.0
20151004:1600,18.47,48.15,594.55,343.32,261.8,369.8,1.79,135.0,74300.0
20151004:1700,19.56,43.25,815.45,532.74,290.3,372.0,2.34,129.0,74213.0
20151004:1800,20.7,39.55,617.9,344.01,296.35,376.8,2.62,113.0,74110.0
20151004:1900,19.83,39.0,473.1,311.14,218.1,378.6,1.93,111.0,74074.0
20151004:2000,19.33,40.45,366.25,389.26,113.95,374.6,0.62,91.0,74052.0
20151004:2100,18.68,42.2,191.2,232.31,90.8,360.8,0.55,29.0,74081.0
20151004:2200,17.44,48.7,32.75,48.84,23.65,354.0,0.69,320.0,74059.0
20151004:2300,15.85,60.15,0.0,-0.0,0.0,354.0,0.34,345.0,74198.0
20151005:0000,14.9,66.9,0.0,-0.0,0.0,346.2,0.62,66.0,74293.0
20151005:0100,13.9,72.15,0.0,-0.0,0.0,342.65,1.03,84.0,74403.0
20151005:0200,13.23,75.05,0.0,-0.0,0.0,342.6,1.24,92.0,74476.0
20151005:0300,12.89,76.35,0.0,-0.0,0.0,350.6,1.17,98.0,74549.0
20151005:0400,12.71,76.75,0.0,-0.0,0.0,354.8,1.1,101.0,74571.0
20151005:0500,12.32,78.05,0.0,-0.0,0.0,346.6,1.03,101.0,74535.0
20151005:0600,11.75,79.8,0.0,-0.0,0.0,334.4,1.1,105.0,74513.0
20151005:0700,11.61,81.3,0.0,-0.0,0.0,345.8,1.17,107.0,74461.0
20151005:0800,11.26,82.0,0.0,-0.0,0.0,344.6,1.31,109.0,74439.0
20151005:0900,10.78,82.6,0.0,-0.0,0.0,355.2,1.45,107.0,74417.0
20151005:1000,10.65,80.8,0.0,-0.0,0.0,346.8,1.45,107.0,74425.0
20151005:1100,10.53,79.55,74.35,552.4,40.45,351.8,1.45,107.0,74491.0
20151005:1200,11.2,76.4,334.45,711.55,109.9,351.8,1.45,108.0,74571.0
20151005:1300,14.32,62.0,580.5,837.47,121.7,343.8,1.17,121.0,74578.0
20151005:1400,16.67,51.8,646.55,619.81,186.45,342.6,0.97,142.0,74542.0
20151005:1500,18.47,42.35,853.25,782.71,159.95,348.4,2.28,127.0,74454.0
20151005:1600,20.37,35.2,925.15,773.64,175.95,352.6,2.14,135.0,74344.0
20151005:1700,21.35,31.6,917.05,724.45,203.75,351.2,2.21,131.0,74235.0
20151005:1800,21.8,30.2,819.8,686.9,178.75,351.4,1.72,131.0,74125.0
20151005:1900,21.16,32.65,638.15,591.42,154.45,353.2,1.59,116.0,74059.0
20151005:2000,20.88,31.9,469.45,506.97,141.8,362.8,1.1,93.0,74037.0
20151005:2100,20.08,32.5,241.85,404.21,67.95,345.0,0.55,38.0,74052.0
20151005:2200,18.71,37.9,38.7,122.56,16.1,345.6,0.76,333.0,74103.0
20151005:2300,16.68,51.6,0.0,-0.0,0.0,333.0,0.48,335.0,74235.0
20151006:0000,15.27,62.45,0.0,-0.0,0.0,333.0,0.62,59.0,74330.0
20151006:0100,14.08,67.5,0.0,-0.0,0.0,333.05,0.97,90.0,74425.0
20151006:0200,13.19,70.35,0.0,-0.0,0.0,328.6,1.17,95.0,74476.0
20151006:0300,12.47,71.95,0.0,-0.0,0.0,326.4,1.31,94.0,74527.0
20151006:0400,11.88,73.0,0.0,-0.0,0.0,325.4,1.31,96.0,74564.0
20151006:0500,11.52,73.25,0.0,-0.0,0.0,329.4,1.24,94.0,74527.0
20151006:0600,11.13,73.8,0.0,-0.0,0.0,344.6,1.17,96.0,74505.0
20151006:0700,10.92,77.05,0.0,-0.0,0.0,326.4,1.17,98.0,74469.0
20151006:0800,10.33,78.6,0.0,-0.0,0.0,337.4,1.31,102.0,74432.0
20151006:0900,10.08,79.0,0.0,-0.0,0.0,347.8,1.38,103.0,74432.0
20151006:1000,9.78,79.8,0.0,-0.0,0.0,353.0,1.38,101.0,74498.0
20151006:1100,9.66,80.2,102.45,745.19,56.2,332.8,1.52,101.0,74549.0
20151006:1200,11.04,76.7,297.45,581.21,113.75,340.2,1.38,104.0,74564.0
20151006:1300,14.19,63.25,515.5,689.09,137.85,347.0,1.03,122.0,74564.0
20151006:1400,16.63,50.15,742.7,768.46,172.35,333.8,0.97,159.0,74520.0
20151006:1500,18.78,41.2,804.4,691.25,192.45,337.4,2.0,129.0,74469.0
